
# ========== optimize session started at 2026-02-15 08:44:36 ==========
[2026-02-15 08:44:43] [optimize] REMOVED /Users/rob/Library/Application Support/Dock/desktoppicture.db (52KB)
# ========== optimize session ended at 2026-02-15 08:44:58, 14 items, 0B ==========

# ========== clean session started at 2026-02-15 08:45:18 ==========
[2026-02-15 08:45:18] [clean] REMOVED /private/var/log/nix-daemon.log
[2026-02-15 08:45:19] [clean] REMOVED /private/var/folders/zx/sdl69vjd6fg6g5jhffrdfz240000gn/X/com.jetbrains.rider.code_sign_clone
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.SoftwareUpdateNotificationManager (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.Spotlight (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.TV (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.VideoConference (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.WalletSettingsExtension (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.WorkflowKit.BackgroundShortcutRunner (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.WritingTools.xpc.WritingToolsViewService (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.accountsd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.akd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.amsaccountsd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.amsengagementd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.amsondevicestoraged (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.ap.PromotedContentJetService (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.ap.adprivacyd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.appleaccountd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.appstore (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.appstoreagent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.appstorecomponentsd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.assistant_cdmd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.assistant_service (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.assistantd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.automator.actionCache-bundleLocations.plist (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.automator.actionCache-system-standardLocations.plist (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.betaenrollmentagent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.betaenrollmentd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.bird (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.bookassetd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.bookdatastored (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.businessservicesd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.cache_delete (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.callintelligenced (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.chrono (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.cloudd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.commerce (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.configurator.ui (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.containermanagerd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.controlcenter (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.controlcenter.helper (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.coreservices.uiagent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.ctcategories.service (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.dataaccess.dataaccessd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.donotdisturbd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.dt.Xcode (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.dt.Xcode.sourcecontrol.Git (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.dt.xcodebuild (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.duetexpertd (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.e5rt.e5bundlecache (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.feedbacklogger (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.finder (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.findmy.findmylocateagent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.findmy.fmfcore (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.findmy.fmipcore (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.findmy.imagecache (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.gamed (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.geoanalyticsd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.helpd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.homed (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.homeenergyd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.iCloudNotificationAgent (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.iTunes (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.iTunesCloud (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.iWork.Numbers (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.ibtool (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.installer.osinstallersetupd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.itunescloudd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.managedappdistributionagent (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.maps.destinationd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.mlruntimed (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.nbagent (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.newsd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.nsservicescache.plist (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.nsurlsessiond (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.parsecd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.passd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.preferencepanes.usercache (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.proactive.eventtracker (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.python (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.remindd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.-2417890708855011662.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.-4733748633353167552.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.-4983781140330059684.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.-6780277465686202818.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.-7779189576589942603.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.-7973437587638739630.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.14153899609806.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.215426932792739358.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.230770346109012413.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.24049398415.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.26919328759.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.2812606788724991378.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.2844661561058500568.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.2894038297468774578.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.3427910662493396681.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.3465968951862004152.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.3987059877150253887.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.4024808128781873001.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.663103074326612662.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sharekit.895546419455149065.png (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.shazamd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siri.SuggestionsBookkeepingService (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siri.bundleservicecache.plist (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siri.conversationhandlercache.plist (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siri.embeddedspeech (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siri.findmy.syncdevicedata.json (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siri.transformationplugincache.plist (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.siriknowledged (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.sirittsd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.storekitagent (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.swtransparencyd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.systemsettings.menucache (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.textunderstandingd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.tipsd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.tiswitcher.cache (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.translationd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.transparencyd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.watchlistd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.weatherd (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.axosoft.gitkraken (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.cloudflare.1dot1dot1dot1.macos (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.colliderli.iina (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.figma.Desktop (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.figma.Desktop.ShipIt (protected)
[2026-02-15 08:45:30] [clean] SKIPPED /Users/rob/Library/Caches/com.figma.agent (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.hnc.Discord (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.luckymarmot.Paw (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.microsoft.VSCode (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.microsoft.VSCode.ShipIt (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.microsoft.autoupdate.fba (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.openai.chat (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.raycast.macos (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.sublimetext.4 (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.surteesstudios.Bartender (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.todesktop.230313mzl4w4u92 (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/com.todesktop.230313mzl4w4u92.ShipIt (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/dev.warp.Warp-Stable (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/net.whatsapp.WhatsApp (protected)
[2026-02-15 08:45:31] [clean] SKIPPED /Users/rob/Library/Caches/us.zoom.xos (protected)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/Dia (967.5MB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/JNA
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/Zed
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/fig
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/ssu
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/deno (100KB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/bagel (24KB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/fresh (1.5MB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/Animoji (1.2MB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/GameKit (48KB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/PassKit (2.2MB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/SiriTTS (261.3MB)
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/TeXShop
[2026-02-15 08:45:38] [clean] REMOVED /Users/rob/Library/Caches/segment
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/Homebrew (6.05GB)
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/Marked 2
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/EnergyKit
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/TrickPlay
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/io.sentry (12KB)
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/com.emdash (80KB)
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/ARFileCache
[2026-02-15 08:45:39] [clean] REMOVED /Users/rob/Library/Caches/GeoServices (86.9MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/SentryCrash (28KB)
[2026-02-15 08:45:40] [clean] FAILED /Users/rob/Library/Caches/FamilyCircle (permission denied)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/INSTALLATION (4KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/JetPackCache (172KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/ChatGPTHelper
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/LSMImageCache
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.datadoghq
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/familycircled (1.0MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/askpermissiond (244KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/emdash-updater (368.7MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/storedownloadd (80KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/icloudmailagent (6.2MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.emdash.ShipIt (8KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.kagi.kagimacOS (308KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/app.kaleidoscope.v4 (10.6MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.readdle.handoff
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/org.m0k.transmission (176KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/MeowingCat.MacsyZones (144KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.electron.meridiem (224KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.mitchellh.ghostty (4KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.smoothcsv.desktop (8KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.hnc.Discord.ShipIt
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/company.thebrowser.dia (139.0MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/fr.handbrake.HandBrake
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/app.macdown.macdown3000 (940KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/dev.kiro.desktop.ShipIt
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.intii.CopilotForXcode (316KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.mimestream.Mimestream
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.grammarly.ProjectLlama (5.9MB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.googlecode.mactlmgr.tlu (484KB)
[2026-02-15 08:45:40] [clean] REMOVED /Users/rob/Library/Caches/com.axosoft.gitkraken.ShipIt (12KB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.duckduckgo.macos.browser (157.7MB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.electron.meridiem.ShipIt (8KB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/io.github.wickenico.wailbrew (80KB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/company.thebrowser.browser.helper
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.plausiblelabs.crashreporter.data
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.duckduckgo.macos.DBP.backgroundAgent (17.9MB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.grammarly.ProjectLlama.UpdateService (1.0MB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/org.whispersystems.signal-desktop.ShipIt (8KB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.onevcat.Kingfisher.ImageCache.default (50.5MB)
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/com.omnigroup.framework.OmniSoftwareUpdate
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/app.kaleidoscope.v4.xpc.GitIntegrationService
[2026-02-15 08:45:41] [clean] REMOVED /Users/rob/Library/Caches/AAProfilePicture_303694E7-C44D-4FA1-9731-AF9BBCFCE819.png (72KB)
[2026-02-15 08:45:41] [clean] SKIPPED /Users/rob/Library/Logs/Claude (protected)
